Date,Close/Last,Volume,Open,High,Low
03/02/2020,$48.55,2736343,$48.45,$48.89,$46.07
02/28/2020,$48.11,2634072,$44.15,$48.49,$44
02/27/2020,$46.18,3055196,$47.06,$48.8,$45.22
02/26/2020,$49.37,2430766,$52.52,$53.09,$49.25
02/25/2020,$51.99,2393323,$54.79,$55.11,$51.785
02/24/2020,$54.57,3660357,$53.01,$55.26,$52.51
02/21/2020,$55.94,2397595,$57.12,$57.49,$55.62
02/20/2020,$58.29,3368044,$54.38,$58.32,$54.2833
02/19/2020,$54.58,2271193,$52.31,$54.98,$52.21
02/18/2020,$52.16,2710244,$50.21,$52.4,$49.92
02/14/2020,$50.39,2109657,$51.3,$51.78,$50.33
02/13/2020,$51.12,2092263,$51.45,$52.245,$51.07
02/12/2020,$51.82,2114599,$52.35,$52.39,$51.05
02/11/2020,$51.82,1601256,$53.43,$53.61,$51.605
02/10/2020,$52.84,3447255,$50.38,$52.93,$50.3
02/07/2020,$50.56,5005264,$53.15,$53.155,$50.49
02/06/2020,$54.62,7880863,$54,$55.72,$51.58
02/05/2020,$55.6,3942200,$57.13,$57.13,$54.81
02/04/2020,$55.97,2791013,$54.5,$56.39,$53.5
02/03/2020,$53.78,2913418,$54.06,$54.27,$53.15
01/31/2020,$54.15,2443921,$56.22,$56.37,$53.54
01/30/2020,$55.9,1856565,$56,$56.63,$54.94
01/29/2020,$56.3,1610062,$57.34,$57.84,$56.28
01/28/2020,$57.2,1487109,$57.11,$57.92,$56.45
01/27/2020,$56.9,1674012,$56.58,$57.3,$55.79
01/24/2020,$58.57,2942314,$58.25,$59.4,$57.74
01/23/2020,$57.74,2353803,$56.37,$58.01,$55.81
01/22/2020,$56.37,1609622,$55.84,$57.51,$55.42
01/21/2020,$55.68,2225836,$55.65,$56.03,$54.87
01/17/2020,$55.98,1689575,$56.78,$57.2,$55.89
01/16/2020,$56.25,2363025,$55.69,$56.66,$55.5
01/15/2020,$55.19,1813234,$54.82,$55.96,$54.77
01/14/2020,$54.68,2380276,$53.98,$55.22,$53.69
01/13/2020,$53.69,2610397,$52.48,$54.16,$51.42
