Date,Close/Last,Volume,Open,High,Low
11/22/2019,$97.62,1543940,$98.32,$98.74,$97.35
11/21/2019,$97.9,2430726,$98.5,$99.15,$97.845
11/20/2019,$98.12,2234030,$98,$99.0128,$97.69
11/19/2019,$98.08,2307947,$98.33,$98.53,$97.54
11/18/2019,$98.28,2485902,$98.64,$99.03,$97.91
11/15/2019,$98.28,2575750,$98.63,$98.86,$97.85
11/14/2019,$98.11,2240548,$98.25,$98.77,$97.56
11/13/2019,$98.38,1906050,$98.71,$99.43,$98.15
11/12/2019,$98.34,2267978,$99.23,$99.91,$97.59
11/11/2019,$98.83,2348318,$98.86,$99.58,$98.68
11/08/2019,$98.9,2365813,$99.52,$100.19,$98.55
11/07/2019,$99.66,2632678,$100.1,$100.38,$98.62
11/06/2019,$100.09,4237520,$98.15,$100.7,$97.4
11/05/2019,$97.93,2473973,$98.6,$98.7,$96.935
11/04/2019,$98.45,3067874,$99.5,$100.42,$98.19
11/01/2019,$99.65,2968558,$101.93,$102.23,$99.185
10/31/2019,$101.71,3934105,$103.03,$103.34,$100.17
10/30/2019,$103.34,9020060,$102.49,$103.6,$97.7401
10/29/2019,$109.72,2024883,$109.79,$110.54,$109.49
10/28/2019,$109.51,2127605,$109.69,$110.71,$109.51
10/25/2019,$109.1,985727,$108.83,$109.7,$108.6
10/24/2019,$108.95,1535845,$109.62,$109.78,$108.73
10/23/2019,$109.27,1870872,$110.12,$110.72,$108.09
10/22/2019,$110.1,1844626,$112.3,$112.3,$110.07
10/21/2019,$112.31,1267566,$112.87,$113.21,$111.31
10/18/2019,$112.3,1952411,$109.99,$112.6,$109.58
10/17/2019,$110.37,1351307,$111.69,$112.33,$110.25
10/16/2019,$111.48,1292871,$110.93,$111.71,$110.5001
10/15/2019,$111.3,1795499,$113.37,$113.52,$110.55
10/14/2019,$112.82,1053100,$114.01,$114.75,$112.71
10/11/2019,$114.45,1775467,$114.8,$115.17,$114.03
10/10/2019,$114.33,872438,$113,$114.62,$112.93
10/09/2019,$113.33,973239,$113.1,$113.87,$112.8399
10/08/2019,$112.59,1449980,$113.42,$113.42,$111.82
10/07/2019,$113.69,1016587,$114.45,$114.59,$113.655
10/04/2019,$114.66,1379173,$113.82,$114.95,$113.71
10/03/2019,$113.68,1360806,$112.67,$114.115,$112.23
10/02/2019,$112.67,1475420,$112.36,$112.7,$111.44
10/01/2019,$112.89,1061384,$113.4,$113.42,$112.33
09/30/2019,$113.43,1265132,$113.13,$113.81,$112.72
09/27/2019,$112.99,924738,$113.31,$113.45,$112.2
09/26/2019,$112.81,1493120,$111.99,$113.82,$111.99
09/25/2019,$111.51,2413940,$112.16,$112.27,$111.02
09/24/2019,$112.24,3501115,$114.37,$114.51,$111.93
09/23/2019,$113.59,1649201,$112,$114.51,$111.51
09/20/2019,$112.3,3302029,$114.34,$114.87,$112.27
09/19/2019,$114.1,970919,$114.16,$114.735,$113.84
09/18/2019,$114.58,2009182,$113.37,$114.61,$113.14
09/17/2019,$112.8,2116084,$111.02,$112.895,$110.88
09/16/2019,$110.54,1739911,$110.48,$111.735,$110.18
09/13/2019,$111.36,2477026,$113.17,$113.88,$110.69
09/12/2019,$113.27,1968458,$114.94,$115.95,$113.13
09/11/2019,$113.8,1979905,$114.93,$115.91,$113.16
09/10/2019,$115.27,1889125,$117.11,$117.17,$113.88
09/09/2019,$117.81,1758609,$119.59,$119.59,$117.22
09/06/2019,$119.21,1669908,$117.99,$119.43,$117.75
09/05/2019,$118.16,1375125,$118.58,$119.1,$117.9
09/04/2019,$117.89,1275880,$117.63,$117.89,$116.09
09/03/2019,$116.71,1362829,$116.8,$117.49,$116.28
08/30/2019,$116.78,1154468,$117.9,$117.9,$116.34
08/29/2019,$117.31,1081464,$117.57,$117.72,$116.37
08/28/2019,$116.96,879489,$117.08,$117.395,$116.44
08/27/2019,$116.97,1380411,$117.56,$118.17,$116.67
08/26/2019,$117.23,1130426,$116.19,$117.29,$115.97
08/23/2019,$115.31,1800448,$116.98,$117.3689,$114.91
08/22/2019,$117.31,832719,$117.55,$117.99,$116.6
08/21/2019,$117.23,1065172,$117.03,$117.56,$116.2
08/20/2019,$116.57,1028373,$116.56,$117.705,$116.09
08/19/2019,$116.46,1061915,$116.54,$116.8,$115.34
08/16/2019,$115.62,1400890,$116.45,$116.67,$115.11
08/15/2019,$116.4,1369415,$115.67,$116.615,$115.35
08/14/2019,$115.55,1413200,$116.69,$116.93,$115.51
08/13/2019,$117.13,1592975,$116.48,$117.13,$115.34
08/12/2019,$116.54,1327492,$118.59,$118.77,$115.5951
08/09/2019,$119.02,1656120,$117.5,$119.12,$117.19
08/08/2019,$117.32,2373118,$116.67,$118.68,$116.67
08/07/2019,$116.26,2002981,$115.68,$116.35,$114.68
08/06/2019,$116.05,1643683,$115.37,$116.53,$113.64
08/05/2019,$115.07,1897577,$117,$117,$113.74
